Takeoff Coach 5.2 cvar audit
REGISTERED | READ BY RUNTIME | EDITED BY UI | SAVED BY PRESET | USED | OCCURRENCES
tc_objective | YES | YES | YES | YES | 5
tc_setup_preset | YES | YES | YES | YES | 5
tc_guidance_style | YES | YES | YES | YES | 4
tc_reaction_allowance_ms | YES | YES | YES | YES | 5
tc_hide_timing_before_cue | YES | YES | NO | YES | 4
tc_hide_alignment_before_cue | YES | YES | NO | YES | 4
tc_hide_ball_marker_before_cue | YES | YES | NO | YES | 4
tc_hide_takeoff_marker_before_cue | YES | YES | NO | YES | 4
tc_markers_visible_before_cue | YES | YES | NO | YES | 4
tc_show_reaction_cue | YES | YES | NO | YES | 4
tc_cue_width | YES | YES | NO | YES | 4
tc_cue_height | YES | YES | NO | YES | 4
tc_cue_position_x | YES | YES | NO | YES | 4
tc_cue_position_y | YES | YES | NO | YES | 4
tc_cue_red_r | YES | NO | NO | YES | 2
tc_cue_red_g | YES | NO | NO | YES | 2
tc_cue_red_b | YES | NO | NO | YES | 2
tc_cue_green_r | YES | NO | NO | YES | 2
tc_cue_green_g | YES | NO | NO | YES | 2
tc_cue_green_b | YES | NO | NO | YES | 2
tc_reaction_target_policy_fast | YES | YES | YES | YES | 5
tc_reaction_target_policy_shoot | YES | YES | YES | YES | 5
tc_auto_reset | YES | YES | NO | YES | 4
tc_feedback_seconds | YES | YES | NO | YES | 4
tc_distance_min | YES | YES | YES | YES | 4
tc_distance_max | YES | YES | YES | YES | 4
tc_lateral_min | YES | YES | YES | YES | 4
tc_lateral_max | YES | YES | YES | YES | 4
tc_ball_height_min | YES | YES | YES | YES | 4
tc_ball_height_max | YES | YES | YES | YES | 4
tc_setup_rotation_min | YES | YES | YES | YES | 4
tc_setup_rotation_max | YES | YES | YES | YES | 4
tc_car_facing_min | YES | YES | YES | YES | 4
tc_car_facing_max | YES | YES | YES | YES | 4
tc_car_speed_min | YES | YES | YES | YES | 4
tc_car_speed_max | YES | YES | YES | YES | 4
tc_car_velocity_angle_min | YES | YES | YES | YES | 4
tc_car_velocity_angle_max | YES | YES | YES | YES | 4
tc_ball_speed_min | YES | YES | YES | YES | 4
tc_ball_speed_max | YES | YES | YES | YES | 4
tc_ball_vertical_min | YES | YES | YES | YES | 4
tc_ball_vertical_max | YES | YES | YES | YES | 4
tc_ball_direction_min | YES | YES | YES | YES | 4
tc_ball_direction_max | YES | YES | YES | YES | 4
tc_contact_min | YES | NO | NO | YES | 2
tc_target_policy_read | YES | YES | YES | YES | 3
tc_fast_use_descending_only | YES | GENERIC PRESET UI | YES | YES | 2
tc_contact_max | YES | NO | NO | YES | 3
tc_solver_hz | YES | YES | NO | YES | 4
tc_prediction_timestep | YES | YES | NO | YES | 5
tc_prediction_horizon | YES | YES | NO | YES | 4
tc_ball_restitution | YES | YES | NO | YES | 4
tc_tangential_damping | YES | YES | NO | YES | 4
tc_bounce_policy | YES | YES | YES | YES | 5
tc_max_bounces | YES | YES | YES | YES | 6
tc_prefer_prebounce | YES | YES | YES | YES | 6
tc_reject_unsupported_geometry | YES | NO | NO | YES | 2
tc_initial_settle_time | YES | YES | YES | YES | 5
tc_allowed_failed_samples | YES | YES | YES | YES | 3
tc_max_path_corrections | YES | YES | YES | YES | 3
tc_profile_single_jump | YES | YES | NO | YES | 4
tc_profile_fast_aerial | YES | YES | NO | YES | 4
tc_profile_delayed_second | YES | YES | NO | YES | 4
tc_profile_conservative | YES | YES | NO | YES | 4
tc_robustness_margin | YES | NO | NO | YES | 2
tc_horizontal_calibration | YES | NO | NO | YES | 3
tc_vertical_calibration | YES | NO | NO | YES | 4
tc_ball_path_position_tolerance | YES | YES | YES | YES | 7
tc_ball_path_velocity_tolerance | YES | YES | YES | YES | 7
tc_car_contact_tolerance | YES | YES | NO | YES | 5
tc_takeoff_marker_tolerance | YES | YES | NO | YES | 3
tc_require_available_boost | YES | YES | NO | YES | 4
tc_allow_boost_deficit | YES | YES | NO | YES | 4
tc_auto_load_matching_preset | YES | YES | NO | YES | 4
tc_rank_weight_time | YES | NO | NO | YES | 2
tc_rank_weight_aim | YES | NO | NO | YES | 2
tc_rank_weight_speed | YES | NO | NO | YES | 2
tc_rank_weight_correction | YES | NO | NO | YES | 2
tc_rank_weight_bounce | YES | NO | NO | YES | 2
tc_rank_weight_robustness | YES | NO | NO | YES | 2
tc_solver_backend | YES | NO | NO | YES | 2
tc_max_candidate_count | YES | NO | NO | YES | 2
